evaluation_step,generation,candidate_index,unique_id,objective,best_so_far,operator,basin_id,cumulative_unique_basins,effective_basins
132,14,2,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.05744,m2,40,26,18.31353403932445
133,14,3,951ee4d2511ba3d1a90fecfc4318f164,0.0624,0.05744,m1,25,26,18.379322854619637
134,14,4,5d391ba90dd5a3d0ce60354355287e79,0.06362,0.05744,e2,15,26,18.305052292455407
135,14,5,3e1442c5ec949d3636fc0a9dbf664b00,0.06364,0.05744,i1,10,26,18.222786843733243
136,14,6,3648e67b2a326030bfa08846bd0c5703,0.06382,0.05744,m2,9,26,18.240949309570755
137,14,7,c0cde56cb5577369f62f6b9d590f6548,0.06471,0.05744,e1,34,26,18.309065817388326
138,14,8,a84cfa636b968df5a1cec798b752d11e,0.06515,0.05744,e2,28,27,18.713646978796234
139,14,9,87b64ed27692b246c32c736775795b94,0.0652,0.05744,m2,23,27,18.63292935033356
140,14,10,4e59c53ad79003e8bf90f7b4365de57d,0.06524,0.05744,t2,11,27,18.78038911206704
141,15,1,b25b309ddcd591f24c268dc28cb3ba23,0.05579,0.05579,m1,1,28,19.185939185146026
142,15,2,0684ce1a85d6c6a3f86ea49d39317810,0.05628,0.05579,e1,1,28,19.404957237507343
143,15,3,4ff0f03533f323fea36428b790cf43fe,0.0565,0.05579,e1,13,29,19.815496935805434
144,15,4,ae47d13c3bb606577e8770708011d901,0.05744,0.05579,e1,29,29,19.752001721410682
145,15,5,0a507caab538494ca41df8ba20e30b39,0.05857,0.05579,m1,3,30,20.1635331885049
146,15,6,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.05579,m2,40,30,20.077241316150996
147,15,7,951ee4d2511ba3d1a90fecfc4318f164,0.0624,0.05579,m1,25,30,20.116076981361285
148,15,8,ecf99fb3b28842d1a4ef81ba81b7a21b,0.06323,0.05579,m1,39,31,20.526929026147137
149,15,9,5d391ba90dd5a3d0ce60354355287e79,0.06362,0.05579,e2,15,31,20.44119640158272
150,15,10,3e1442c5ec949d3636fc0a9dbf664b00,0.06364,0.05579,i1,10,31,20.348168507236256
151,16,1,b25b309ddcd591f24c268dc28cb3ba23,0.05579,0.05579,m1,1,31,20.49577786399715
152,16,2,0684ce1a85d6c6a3f86ea49d39317810,0.05628,0.05579,e1,1,31,20.59729706147191
153,16,3,4ff0f03533f323fea36428b790cf43fe,0.0565,0.05579,e1,13,31,20.81596090029489
154,16,4,ae47d13c3bb606577e8770708011d901,0.05744,0.05579,e1,29,31,20.744783729042698
155,16,5,0a507caab538494ca41df8ba20e30b39,0.05857,0.05579,m1,3,31,20.962953995033228
156,16,6,b8fcd1135d527974f68db0f1ddf249da,0.06119,0.05579,e1,33,32,21.37052148570538
157,16,7,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.05579,m2,40,32,21.277767231811318
158,16,8,951ee4d2511ba3d1a90fecfc4318f164,0.0624,0.05579,m1,25,32,21.295409072059183
159,16,9,ecf99fb3b28842d1a4ef81ba81b7a21b,0.06323,0.05579,m1,39,32,21.513621106063486
160,16,10,5d391ba90dd5a3d0ce60354355287e79,0.06362,0.05579,e2,15,32,21.423641589137517
161,17,1,b25b309ddcd591f24c268dc28cb3ba23,0.05579,0.05579,m1,1,32,21.491851195757622
162,17,2,0684ce1a85d6c6a3f86ea49d39317810,0.05628,0.05579,e1,1,32,21.53347718442696
163,17,3,b0280762cde4cb8db28f0ada13c20090,0.05638,0.05579,e2,31,33,21.936303527369162
164,17,4,4ff0f03533f323fea36428b790cf43fe,0.0565,0.05579,e1,13,33,22.083814116624616
165,17,5,ae47d13c3bb606577e8770708011d901,0.05744,0.05579,e1,29,33,22.004402388769133
166,17,6,0a507caab538494ca41df8ba20e30b39,0.05857,0.05579,m1,3,33,22.151791042404604
167,17,7,b8fcd1135d527974f68db0f1ddf249da,0.06119,0.05579,e1,33,33,22.36916636759921
168,17,8,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.05579,m2,40,33,22.272526794717074
169,17,9,951ee4d2511ba3d1a90fecfc4318f164,0.0624,0.05579,m1,25,33,22.27376816757681
170,17,10,ecf99fb3b28842d1a4ef81ba81b7a21b,0.06323,0.05579,m1,39,33,22.420984170180187
171,18,1,b25b309ddcd591f24c268dc28cb3ba23,0.05579,0.05579,m1,1,33,22.4417000144556
172,18,2,0684ce1a85d6c6a3f86ea49d39317810,0.05628,0.05579,e1,1,33,22.444244385158992
173,18,3,b0280762cde4cb8db28f0ada13c20090,0.05638,0.05579,e2,31,33,22.659733815074826
174,18,4,4ff0f03533f323fea36428b790cf43fe,0.0565,0.05579,e1,13,33,22.76235704007339
175,18,5,ae47d13c3bb606577e8770708011d901,0.05744,0.05579,e1,29,33,22.679635152951906
176,18,6,0a507caab538494ca41df8ba20e30b39,0.05857,0.05579,m1,3,33,22.78254866803476
177,18,7,b8fcd1135d527974f68db0f1ddf249da,0.06119,0.05579,e1,33,33,22.929469973290995
178,18,8,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.05579,m2,40,33,22.83220586451414
179,18,9,951ee4d2511ba3d1a90fecfc4318f164,0.0624,0.05579,m1,25,33,22.82161192864246
180,18,10,ecf99fb3b28842d1a4ef81ba81b7a21b,0.06323,0.05579,m1,39,33,22.924938642639574
181,19,1,b25b309ddcd591f24c268dc28cb3ba23,0.05579,0.05579,m1,1,33,22.915316658540487
182,19,2,0684ce1a85d6c6a3f86ea49d39317810,0.05628,0.05579,e1,1,33,22.89249067008824
183,19,3,b0280762cde4cb8db28f0ada13c20090,0.05638,0.05579,e2,31,33,23.03886782684645
184,19,4,4ff0f03533f323fea36428b790cf43fe,0.0565,0.05579,e1,13,33,23.11072803400125
185,19,5,ae47d13c3bb606577e8770708011d901,0.05744,0.05579,e1,29,33,23.028013177793177
186,19,6,0a507caab538494ca41df8ba20e30b39,0.05857,0.05579,m1,3,33,23.100470812629666
187,19,7,b8fcd1135d527974f68db0f1ddf249da,0.06119,0.05579,e1,33,33,23.204376296378946
188,19,8,7a6e2bffd2738c34b6d41aafadead5cb,0.06234,0.05579,t2,20,34,23.5888482514344
189,19,9,951ee4d2511ba3d1a90fecfc4318f164,0.0624,0.05579,m1,25,34,23.56732770014975
190,19,10,ecf99fb3b28842d1a4ef81ba81b7a21b,0.06323,0.05579,m1,39,34,23.639692827309634
191,20,1,b25b309ddcd591f24c268dc28cb3ba23,0.05579,0.05579,m1,1,34,23.60700687019311
192,20,2,0684ce1a85d6c6a3f86ea49d39317810,0.05628,0.05579,e1,1,34,23.564173399625417
193,20,3,b0280762cde4cb8db28f0ada13c20090,0.05638,0.05579,e2,31,34,23.668308245589017
194,20,4,4ff0f03533f323fea36428b790cf43fe,0.0565,0.05579,e1,13,34,23.716886870873147
195,20,5,1e8b7c03456ea84c1cfbf0f2ac6f6dbd,0.05678,0.05579,m2,1,34,23.665711484475473
196,20,6,ae47d13c3bb606577e8770708011d901,0.05744,0.05579,e1,29,34,23.582343434948854
197,20,7,0a507caab538494ca41df8ba20e30b39,0.05857,0.05579,m1,3,34,23.63228976674715
198,20,8,f12654610f0220c64418b8d280646c0b,0.06069,0.05579,m2,38,35,24.008005530420505
199,20,9,b8fcd1135d527974f68db0f1ddf249da,0.06119,0.05579,e1,33,35,24.081757841160375
200,20,10,6a9daf04f375da645073f9d1ec914b45,0.06208,0.05579,e2,19,36,24.459688881136337
201,21,1,1467321a9bece65d15e59acedf2de778,0.05494,0.05494,m1,1,36,24.39908043923491
202,21,2,b25b309ddcd591f24c268dc28cb3ba23,0.05579,0.05494,m1,1,36,24.33120697375403
203,21,3,0684ce1a85d6c6a3f86ea49d39317810,0.05628,0.05494,e1,1,36,24.256806644083092
204,21,4,b0280762cde4cb8db28f0ada13c20090,0.05638,0.05494,e2,31,36,24.331231505841647
205,21,5,4ff0f03533f323fea36428b790cf43fe,0.0565,0.05494,e1,13,36,24.361871575018476
206,21,6,d5675a00a4a47ad6c3eebde380752dd3,0.05672,0.05494,m2,38,36,24.56924938079802
207,21,7,1e8b7c03456ea84c1cfbf0f2ac6f6dbd,0.05678,0.05494,m2,1,36,24.489333317268773
208,21,8,ae47d13c3bb606577e8770708011d901,0.05744,0.05494,e1,29,36,24.404102264538476
209,21,9,0a507caab538494ca41df8ba20e30b39,0.05857,0.05494,m1,3,36,24.43616070604107
210,21,10,06c9fb2b47f920f37581c8445ac60934,0.0591,0.05494,m2,2,37,24.805307553130092
211,22,1,1467321a9bece65d15e59acedf2de778,0.05494,0.05494,m1,1,37,24.72038190829897
212,22,2,b25b309ddcd591f24c268dc28cb3ba23,0.05579,0.05494,m1,1,37,24.630636136064954
213,22,3,0684ce1a85d6c6a3f86ea49d39317810,0.05628,0.05494,e1,1,37,24.53653134953016
214,22,4,b0280762cde4cb8db28f0ada13c20090,0.05638,0.05494,e2,31,37,24.58934228414587
215,22,5,4ff0f03533f323fea36428b790cf43fe,0.0565,0.05494,e1,13,37,24.606713574826802
216,22,6,1f80e8a9bd0af5650308b94a7915af05,0.0566,0.05494,m1,1,37,24.510028186693088
217,22,7,4e951d8f46c2855bcfa60cf1ceb0c4ae,0.05668,0.05494,m1,1,37,24.409770303110705
218,22,8,d5675a00a4a47ad6c3eebde380752dd3,0.05672,0.05494,m2,38,37,24.553253111623093
219,22,9,1e8b7c03456ea84c1cfbf0f2ac6f6dbd,0.05678,0.05494,m2,1,37,24.449486920961395
220,22,10,ae47d13c3bb606577e8770708011d901,0.05744,0.05494,e1,29,37,24.369279222125048
221,23,1,1467321a9bece65d15e59acedf2de778,0.05494,0.05494,m1,1,37,24.264271471476913
222,23,2,b25b309ddcd591f24c268dc28cb3ba23,0.05579,0.05494,m1,1,37,24.156612947637804
223,23,3,0684ce1a85d6c6a3f86ea49d39317810,0.05628,0.05494,e1,1,37,24.046562233699895
224,23,4,b0280762cde4cb8db28f0ada13c20090,0.05638,0.05494,e2,31,37,24.08508949704163
225,23,5,4ff0f03533f323fea36428b790cf43fe,0.0565,0.05494,e1,13,37,24.09502456425062
226,23,6,1f80e8a9bd0af5650308b94a7915af05,0.0566,0.05494,m1,1,37,23.98431766817785
227,23,7,4e951d8f46c2855bcfa60cf1ceb0c4ae,0.05668,0.05494,m1,1,37,23.87165743143592
228,23,8,d5675a00a4a47ad6c3eebde380752dd3,0.05672,0.05494,m2,38,37,23.977125735386227
229,23,9,1e8b7c03456ea84c1cfbf0f2ac6f6dbd,0.05678,0.05494,m2,1,37,23.86270543909204
230,23,10,ae47d13c3bb606577e8770708011d901,0.05744,0.05494,e1,29,37,23.78949520120921
231,24,1,073cec36ec29dc69635c19147b3f3414,0.05492,0.05492,m2,1,37,23.67511430181337
232,24,2,1467321a9bece65d15e59acedf2de778,0.05494,0.05492,m1,1,37,23.559316145331074
233,24,3,b25b309ddcd591f24c268dc28cb3ba23,0.05579,0.05492,m1,1,37,23.44225851897521
234,24,4,0684ce1a85d6c6a3f86ea49d39317810,0.05628,0.05492,e1,1,37,23.324087843810652
235,24,5,b0280762cde4cb8db28f0ada13c20090,0.05638,0.05492,e2,31,37,23.35326683767767
236,24,6,4ff0f03533f323fea36428b790cf43fe,0.0565,0.05492,e1,13,37,23.359219071903425
237,24,7,1f80e8a9bd0af5650308b94a7915af05,0.0566,0.05492,m1,1,37,23.241581541466797
238,24,8,4e951d8f46c2855bcfa60cf1ceb0c4ae,0.05668,0.05492,m1,1,37,23.12306942569929
239,24,9,d5675a00a4a47ad6c3eebde380752dd3,0.05672,0.05492,m2,38,37,23.20365901732081
240,24,10,1e8b7c03456ea84c1cfbf0f2ac6f6dbd,0.05678,0.05492,m2,1,37,23.084538828400646
241,25,1,073cec36ec29dc69635c19147b3f3414,0.05492,0.05492,m2,1,37,22.964760791422908
242,25,2,1467321a9bece65d15e59acedf2de778,0.05494,0.05492,m1,1,37,22.84442644332381
243,25,3,ba5cd8d1d46c592905817d0c9c288807,0.0552,0.05492,m1,1,37,22.723630467737266
244,25,4,b25b309ddcd591f24c268dc28cb3ba23,0.05579,0.05492,m1,1,37,22.602461193713783
245,25,5,0684ce1a85d6c6a3f86ea49d39317810,0.05628,0.05492,e1,1,37,22.481001049841314
246,25,6,b0280762cde4cb8db28f0ada13c20090,0.05638,0.05492,e2,31,37,22.503963205789024
247,25,7,4ff0f03533f323fea36428b790cf43fe,0.0565,0.05492,e1,13,37,22.507851424799995
248,25,8,1f80e8a9bd0af5650308b94a7915af05,0.0566,0.05492,m1,1,37,22.387636482351905
249,25,9,4e951d8f46c2855bcfa60cf1ceb0c4ae,0.05668,0.05492,m1,1,37,22.26725260004656
250,25,10,d5675a00a4a47ad6c3eebde380752dd3,0.05672,0.05492,m2,38,37,22.330847117938937
251,26,1,073cec36ec29dc69635c19147b3f3414,0.05492,0.05492,m2,1,37,22.210598845118565
252,26,2,1467321a9bece65d15e59acedf2de778,0.05494,0.05492,m1,1,37,22.090301503537702
253,26,3,ba5cd8d1d46c592905817d0c9c288807,0.0552,0.05492,m1,1,37,21.97001363552944
254,26,4,b25b309ddcd591f24c268dc28cb3ba23,0.05579,0.05492,m1,1,37,21.84978996076061
255,26,5,0684ce1a85d6c6a3f86ea49d39317810,0.05628,0.05492,e1,1,37,21.729681621599617
256,26,6,b0280762cde4cb8db28f0ada13c20090,0.05638,0.05492,e2,31,37,21.747829481402793
257,26,7,4ff0f03533f323fea36428b790cf43fe,0.0565,0.05492,e1,13,37,21.749994410073462
258,26,8,1f80e8a9bd0af5650308b94a7915af05,0.0566,0.05492,m1,1,37,21.631440600289103
259,26,9,4e951d8f46c2855bcfa60cf1ceb0c4ae,0.05668,0.05492,m1,1,37,21.513067656028422
260,26,10,d5675a00a4a47ad6c3eebde380752dd3,0.05672,0.05492,m2,38,37,21.56436965426731
